time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
2.245,0,0,0,14,1
2.253,0,0,0,13,2
2.26,0,0,0,12,3
12.245,0,0,0,13,2
12.253,0,0,0,14,1
12.26,0,0,0,15,0
